Circle1:
(163, 190, 183)
(153, 193, 182)
(151, 193, 189)
(129, 182, 174)
(160, 191, 186)
(84, 154, 144)
(44, 121, 113)
(108, 167, 161)
(80, 151, 145)
(151, 185, 184)
(160, 192, 187)
(90, 149, 147)
(157, 200, 191)
(147, 184, 176)
(127, 184, 175)
(157, 192, 186)
(154, 185, 187)
(41, 122, 113)
(146, 191, 184)
(131, 187, 178)
(156, 197, 189)
(120, 177, 170)
(34, 116, 110)
(49, 125, 113)
(79, 152, 143)
(149, 190, 184)
(33, 120, 111)
(146, 194, 194)
(76, 146, 138)
(158, 189, 183)
(140, 181, 177)
(159, 188, 186)
(140, 182, 178)
(23, 127, 116)
(158, 193, 189)
(159, 189, 187)
(42, 123, 116)
(169, 195, 192)
(25, 127, 114)
(155, 190, 183)
(29, 123, 109)
(152, 191, 186)
(20, 125, 111)
(115, 177, 166)
(161, 193, 190)
(151, 196, 189)
(29, 115, 104)
(129, 185, 174)
(38, 122, 107)
(36, 125, 119)
(144, 190, 180)
(145, 186, 178)
(28, 120, 107)
(153, 189, 179)
(92, 155, 146)
(44, 117, 110)
(160, 190, 188)
(108, 171, 162)
(151, 181, 181)
(148, 194, 184)
(138, 183, 180)
(146, 193, 183)
(164, 193, 191)
(144, 193, 190)
(153, 192, 189)
(22, 130, 115)
(47, 128, 121)
(156, 189, 180)
(150, 190, 179)
(157, 188, 183)
(22, 122, 110)
(167, 197, 195)
(21, 118, 109)
(159, 199, 191)
(75, 156, 147)
(51, 124, 115)
(69, 143, 130)
(131, 186, 180)
(79, 159, 150)
(24, 126, 115)
(87, 155, 142)
(159, 195, 193)
(33, 116, 108)
(26, 134, 110)
(149, 198, 192)
(158, 185, 180)
(143, 185, 175)
(97, 160, 151)
(70, 151, 136)
(145, 188, 178)
(125, 188, 177)
(116, 179, 170)
(26, 119, 108)
(155, 186, 180)
(143, 189, 186)
(152, 187, 183)
(35, 121, 112)
(55, 132, 122)
(134, 191, 182)
(26, 123, 114)
(155, 190, 186)
(64, 134, 126)
(147, 193, 182)
(153, 188, 181)
(119, 180, 172)
(160, 186, 185)
(32, 122, 112)
(93, 156, 145)
(21, 129, 114)
(138, 187, 181)
(147, 197, 188)
(138, 190, 186)
(148, 193, 186)
(18, 122, 113)
(41, 121, 110)
(122, 179, 172)
(77, 132, 129)
(32, 112, 103)
(105, 168, 160)
(69, 146, 130)
(40, 126, 113)
(130, 185, 179)
(149, 200, 191)
(25, 133, 110)
(139, 195, 186)
(140, 191, 184)
(165, 190, 186)
(24, 129, 115)
(75, 152, 144)
(159, 198, 193)
(150, 189, 186)
(130, 189, 185)
(23, 125, 112)
(104, 164, 162)
(159, 191, 190)
(72, 146, 131)
(23, 115, 104)
(33, 123, 114)
(139, 188, 182)
(91, 157, 147)
(98, 163, 155)
(142, 187, 184)
(152, 193, 189)
(106, 169, 161)
(133, 189, 186)
(158, 188, 188)
(151, 194, 185)
(145, 195, 184)
(154, 194, 183)
(152, 194, 190)
(154, 197, 188)
(26, 126, 114)
(25, 122, 113)
(64, 137, 126)
(145, 188, 181)
(35, 136, 122)
(109, 168, 162)
(151, 190, 187)
(84, 155, 149)
(108, 173, 165)
(128, 184, 175)
(37, 121, 108)
(138, 193, 187)
(47, 124, 108)
(148, 195, 185)
(148, 199, 192)
(22, 120, 107)
(157, 197, 189)
(146, 196, 187)
(32, 118, 109)
(32, 129, 118)
(112, 172, 170)
(31, 119, 105)
(140, 197, 190)
(41, 117, 107)
